scopus_source_id,print_issn,e_issn,frequency,review_time,journal_website
21100826268,15082806,23007036,Quarterly,20 weeks,https://journals.agh.edu.pl/csci
21100826286,16168658,16168666,Quarterly,40 weeks,http://www.tandfonline.com/TFIE
21100826383,,20893272,,,
21100828027,9743154,,,,
21100832761,15982645,2093744X,Quarterly,,http://www.ijfis.org/
21100833833,,22186581,,,
21100836194,,24059595,,,
21100840026,,20103700,,,
21100853738,,21974225,,,
21100853929,20777973,20778767,,,
21100863713,19478208,19478216,Quarterly,,http://www.igi-global.com/gateway/journal/1169
21100864387,19479263,19479271,Quarterly,,http://www.igi-global.com/gateway/journal/1149
21100868821,,22969144,,,
21100869486,20960433,20960662,,,
21100873335,23307706,23307714,,,
21100886132,,24709476,,,
21100890645,24426571,25483161,,,
21100893766,,2297198X,,,
21100900379,,23773766,,,
22478,0749596X,10960821,Bi-monthly,,http://www.journals.elsevier.com/journal-of-memory-and-language/#description
23127,45411,1557735X,Bi-monthly,,http://jacm.acm.org/
23616,9515666,14355655,Quarterly,,http://link.springer.com/journal/volumesAndIssues/146
23617,9217126,18758452,Bi-monthly,,https://www.iospress.nl/journal/ai-communications/
23629,7384602,,Quarterly,,http://www.aimagazine.org/
23640,14740346,18735320,Quarterly,,http://www.journals.elsevier.com/advanced-engineering-informatics/#description
23670,10122443,15737470,Bi-monthly,,http://www.springerlink.com/content/101739/
23673,8839514,10876545,Monthly,,http://www.tandfonline.com/loi/uaai20
23674,0924669X,15737497,Monthly,,http://www.springerlink.com/content/100236/
23675,43702,18727921,Monthly,,http://www.journals.elsevier.com/artificial-intelligence/#description
23678,8900604,14691760,Quarterly,,http://journals.cambridge.org/action/displayJournal?jid=AIE
23737,8247935,14678640,Quarterly,,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8640
23917,10641246,18758967,Monthly,,https://www.iospress.nl/journal/journal-of-intelligent-fuzzy-systems/
24140,9333657,18732860,Monthly,,http://www.elsevier.com/wps/find/journaldescription.cws_home/505627/description#description
24141,2692821,15737462,Bi-monthly,,http://www.springerlink.com/content/100240/
24142,10645462,15309185,Quarterly,,http://www.mitpressjournals.org/loi/artl
24157,13872532,15737454,Annual,,http://www.springerlink.com/content/102852/
24173,9540091,13600494,Quarterly,,http://www.tandfonline.com/loi/ccos20
24175,13837133,15729354,Quarterly,,http://www.springerlink.com/content/1383-7133
24182,9521976,18736769,Monthly,,http://www.elsevier.com/wps/find/journaldescription.cws_home/975/description#description
